                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.56257,                0.33243,                0.97484,                 0.9894,                0.98601,                0.99343,                0.91002,                0.47092,                0.21078,                0.90444,               0.004918,               0.004918,               0.004918
                     79,                0.55178,                0.32595,                0.97006,                0.98895,                0.98438,                 0.9936,                0.90996,                0.47272,                 0.2118,                0.91012,               0.004852,               0.004852,               0.004852
                     80,                0.55503,                0.33028,                0.97039,                0.98499,                0.98665,                0.99248,                0.90386,                  0.475,                0.21049,                0.90839,               0.004786,               0.004786,               0.004786
                     81,                0.54614,                0.32539,                0.96991,                0.99006,                 0.9864,                0.99308,                0.90786,                0.46663,                 0.2118,                0.90227,                0.00472,                0.00472,                0.00472
                     82,                0.54862,                0.32577,                0.96957,                0.99174,                0.98497,                0.99283,                0.90495,                0.47538,                0.21191,                0.90653,               0.004654,               0.004654,               0.004654
                     83,                0.54627,                0.32553,                0.96655,                0.99156,                0.98555,                 0.9928,                0.90772,                0.47185,                0.22008,                0.90378,               0.004588,               0.004588,               0.004588
                     84,                0.54464,                0.32772,                0.96913,                0.99199,                0.98479,                0.99103,                0.90601,                0.47157,                0.21462,                0.90533,               0.004522,               0.004522,               0.004522
                     85,                0.54008,                0.32088,                0.96546,                0.98451,                0.98635,                0.99273,                0.90763,                0.46828,                0.20538,                0.90153,               0.004456,               0.004456,               0.004456
                     86,                0.55095,                0.32772,                0.97456,                0.98643,                0.99036,                0.99371,                0.91058,                0.47056,                0.20479,                0.89961,                0.00439,                0.00439,                0.00439
                     87,                0.54492,                0.32428,                0.96985,                 0.9876,                0.98731,                 0.9935,                0.91137,                0.46874,                0.20788,                0.89978,               0.004324,               0.004324,               0.004324
                     88,                0.54348,                0.31983,                0.97014,                0.98489,                 0.9849,                0.99284,                0.91025,                0.46577,                0.21182,                0.90434,               0.004258,               0.004258,               0.004258
                     89,                0.53229,                0.32082,                0.96697,                0.98577,                0.98907,                0.99324,                0.90978,                0.46549,                0.20719,                0.90328,               0.004192,               0.004192,               0.004192
                     90,                0.53852,                0.32281,                0.96534,                 0.9836,                  0.986,                0.99337,                0.91137,                0.46556,                0.20641,                0.90554,               0.004126,               0.004126,               0.004126
                     91,                0.52659,                0.31383,                0.95879,                 0.9891,                0.98426,                0.99302,                 0.9084,                  0.475,                0.21125,                0.91086,                0.00406,                0.00406,                0.00406
                     92,                0.53693,                0.31921,                0.96826,                0.98943,                0.98648,                0.99366,                0.90986,                0.47007,                0.20542,                0.90798,               0.003994,               0.003994,               0.003994
