epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,5653.84,0.48602,0.28241,0.96184,0.99357,0.98602,0.99366,0.91409,0.46194,0.19862,0.90745,0.003202,0.003202,0.003202
105,5708.05,0.47893,0.27274,0.94882,0.99375,0.98577,0.99411,0.91201,0.46147,0.19568,0.90798,0.003136,0.003136,0.003136
106,5762.24,0.47089,0.27384,0.94097,0.99408,0.98414,0.99299,0.91192,0.46019,0.19387,0.909,0.00307,0.00307,0.00307
107,5816.18,0.46777,0.26348,0.94435,0.99416,0.98456,0.99297,0.91233,0.45853,0.19244,0.90796,0.003004,0.003004,0.003004
108,5870.45,0.47251,0.27588,0.94572,0.99145,0.99063,0.9933,0.91181,0.45883,0.19543,0.90846,0.002938,0.002938,0.002938
109,5924.57,0.46872,0.27233,0.94398,0.99452,0.98934,0.99314,0.91303,0.45389,0.19316,0.90748,0.002872,0.002872,0.002872
110,5978.8,0.46794,0.26578,0.94131,0.99375,0.98945,0.99331,0.91406,0.4542,0.19557,0.90628,0.002806,0.002806,0.002806
111,6033.08,0.47076,0.27523,0.94747,0.99008,0.9911,0.99348,0.91421,0.4589,0.1933,0.91071,0.00274,0.00274,0.00274
112,6087.19,0.46415,0.26482,0.94047,0.99434,0.99004,0.99328,0.91294,0.45633,0.19083,0.90812,0.002674,0.002674,0.002674
113,6141.2,0.45576,0.26397,0.93508,0.99324,0.98905,0.99316,0.91288,0.461,0.19297,0.91013,0.002608,0.002608,0.002608
114,6195.26,0.45393,0.25998,0.93668,0.9939,0.99032,0.99281,0.91428,0.46345,0.19473,0.91476,0.002542,0.002542,0.002542
115,6249.56,0.45543,0.25929,0.93132,0.99339,0.99019,0.99227,0.91081,0.4624,0.19395,0.91674,0.002476,0.002476,0.002476
116,6303.63,0.45591,0.26013,0.9343,0.99371,0.99102,0.99238,0.91301,0.46342,0.19353,0.91629,0.00241,0.00241,0.00241
117,6357.5,0.45715,0.25934,0.93338,0.99309,0.9903,0.99239,0.91336,0.45804,0.19417,0.91217,0.002344,0.002344,0.002344
118,6411.85,0.45132,0.25705,0.93986,0.99391,0.99086,0.99261,0.91386,0.45496,0.19226,0.90851,0.002278,0.002278,0.002278
119,6465.99,0.44421,0.25408,0.93341,0.99237,0.99092,0.99286,0.91431,0.45286,0.19412,0.90782,0.002212,0.002212,0.002212
120,6520.11,0.43672,0.24822,0.92489,0.99582,0.98839,0.993,0.91549,0.45384,0.19198,0.90736,0.002146,0.002146,0.002146
121,6574.22,0.43776,0.25125,0.92809,0.99595,0.98714,0.99291,0.91377,0.45474,0.19107,0.90962,0.00208,0.00208,0.00208
122,6628.41,0.44154,0.24898,0.92984,0.99437,0.98875,0.99278,0.91488,0.4564,0.18989,0.90995,0.002014,0.002014,0.002014
123,6682.42,0.43988,0.25251,0.93217,0.99418,0.98912,0.99301,0.91359,0.45982,0.18939,0.91317,0.001948,0.001948,0.001948
124,6736.55,0.44539,0.2501,0.9333,0.99499,0.98871,0.99396,0.91486,0.46123,0.18922,0.91556,0.001882,0.001882,0.001882
125,6790.91,0.43346,0.24641,0.92725,0.99491,0.98967,0.99402,0.91518,0.45863,0.18831,0.91354,0.001816,0.001816,0.001816
126,6845.08,0.4279,0.24043,0.92534,0.99527,0.98994,0.99403,0.91399,0.45779,0.18703,0.91296,0.00175,0.00175,0.00175
127,6898.94,0.43428,0.2485,0.92663,0.9942,0.99292,0.99466,0.91301,0.45882,0.18608,0.91428,0.001684,0.001684,0.001684
