epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1197.72,0.4478,0.25084,0.93284,0.97255,0.97589,0.98771,0.91399,0.45616,0.20547,0.8994,0.000165095,0.000165095,0.000165095
131,1237.69,0.43799,0.24574,0.92587,0.98204,0.97622,0.98829,0.91277,0.45335,0.20586,0.90063,0.000157762,0.000157762,0.000157762
132,1277.68,0.44148,0.2465,0.93158,0.98292,0.97703,0.98862,0.91333,0.45441,0.20444,0.90125,0.000150429,0.000150429,0.000150429
133,1317.34,0.44244,0.24915,0.93414,0.98083,0.97664,0.98863,0.91454,0.45417,0.20205,0.89963,0.000143097,0.000143097,0.000143097
134,1357.42,0.43861,0.24191,0.92843,0.98685,0.97856,0.98808,0.91521,0.45296,0.20097,0.89822,0.000135764,0.000135764,0.000135764
135,1397.76,0.44036,0.24201,0.92817,0.98441,0.97784,0.98775,0.91363,0.45108,0.20015,0.89721,0.000128432,0.000128432,0.000128432
136,1437.39,0.43726,0.23804,0.92635,0.97568,0.97592,0.98753,0.91554,0.45256,0.20169,0.89792,0.000121099,0.000121099,0.000121099
137,1477.54,0.43586,0.2412,0.92721,0.97522,0.9755,0.98672,0.91428,0.45213,0.20664,0.89736,0.000113766,0.000113766,0.000113766
138,1517.69,0.43693,0.24002,0.93104,0.97501,0.97553,0.98667,0.91456,0.45153,0.2045,0.89762,0.000106434,0.000106434,0.000106434
139,1558.44,0.43269,0.23889,0.92985,0.97733,0.97659,0.9867,0.91502,0.45209,0.20437,0.89772,9.91012e-05,9.91012e-05,9.91012e-05
140,1598.52,0.43,0.23794,0.92616,0.97833,0.97711,0.98689,0.91548,0.45249,0.20562,0.89879,9.17686e-05,9.17686e-05,9.17686e-05
141,1638.59,0.35311,0.17103,0.87309,0.97749,0.97526,0.9859,0.91319,0.45581,0.20629,0.90113,8.4436e-05,8.4436e-05,8.4436e-05
142,1676.89,0.33933,0.16286,0.86226,0.97581,0.97526,0.98631,0.91421,0.45665,0.20736,0.90276,7.71034e-05,7.71034e-05,7.71034e-05
143,1715.34,0.33639,0.15902,0.8599,0.96775,0.98166,0.98651,0.91067,0.45621,0.2093,0.90351,6.97708e-05,6.97708e-05,6.97708e-05
144,1754.1,0.33565,0.15952,0.85925,0.96766,0.98215,0.98618,0.91115,0.45688,0.20871,0.90537,6.24382e-05,6.24382e-05,6.24382e-05
145,1792.45,0.33288,0.15761,0.86214,0.96803,0.981,0.98593,0.90991,0.45646,0.20873,0.90664,5.51056e-05,5.51056e-05,5.51056e-05
146,1830.7,0.33035,0.1574,0.8546,0.97198,0.97756,0.98613,0.9108,0.45541,0.20935,0.9068,4.7773e-05,4.7773e-05,4.7773e-05
147,1869.23,0.32979,0.15611,0.86088,0.96982,0.97912,0.98621,0.91085,0.45406,0.20885,0.90683,4.04404e-05,4.04404e-05,4.04404e-05
148,1907.6,0.32965,0.15461,0.85659,0.96928,0.97927,0.98629,0.91077,0.45331,0.20993,0.9057,3.31078e-05,3.31078e-05,3.31078e-05
149,1945.74,0.32607,0.15472,0.8553,0.96907,0.97965,0.98553,0.91348,0.45298,0.20995,0.90546,2.57752e-05,2.57752e-05,2.57752e-05
150,1983.91,0.32749,0.15599,0.85452,0.9692,0.97909,0.98566,0.91243,0.45305,0.21021,0.90543,1.84426e-05,1.84426e-05,1.84426e-05
